facility_ID,facility_name,address,city,state,zip,county,hospital_type,hospital_ownership,hosp_overall_rating,census_region,census_division,median_age,per_white_non_hisp,med_inc_15plus_12mo,per_below_poverty,per_college_grad_deg_25_plus,COMP_HIP_KNEE,MORT_30_AMI,MORT_30_CABG,MORT_30_COPD,MORT_30_HF,MORT_30_PN,MORT_30_STK,PSI_03,PSI_04,PSI_06,PSI_08,PSI_09,PSI_10,PSI_11,PSI_12,PSI_13,PSI_14,PSI_15,PSI_90
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,Acute Care Hospitals,Government - Hospital District or Authority,3,South,East South Central,39.1,61.8,25326,20.7,17.2,2.4,12.4,4.7,8.5,8.3,15.9,16.4,0.23,173.39,0.17,0.1,2.33,0.61,8.92,3.33,5.98,0.65,1.21,1.01
10005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,Acute Care Hospitals,Government - Hospital District or Authority,3,South,East South Central,38.3,81,22419,24.2,13.7,1.8,12.6,,8.1,16.9,21.8,16.6,0.86,142.88,0.17,0.06,2.08,0.76,6.87,2.54,3.44,0.76,0.87,0.91
10006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,Acute Care Hospitals,Proprietary,2,South,East South Central,33.8,71.6,21362,22.9,23.5,3.4,16.5,3.5,7.8,12.2,17.8,18.9,1.83,157.42,0.26,0.05,3.46,0.65,3.89,2.8,3.72,0.68,1.33,1.1
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,Acute Care Hospitals,Voluntary non-profit - Private,3,South,East South Central,47.4,83,21490,18.4,12.1,,,,10.3,13.9,21.7,,0.32,,0.18,0.07,2.37,0.91,6.01,3.8,4.05,,1.02,0.99
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,Acute Care Hospitals,Proprietary,,South,East South Central,41.7,72.9,21429,8.1,20.8,,,,,,19.7,,0.5,,0.19,0.07,,,,,,,,
10011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,2,South,East South Central,37.1,32.9,29197,19.5,27,2.4,13.8,3.5,8.2,12.2,17.1,15.2,0.05,136.95,0.16,0.05,2.31,0.98,5.89,2.68,4.63,0.75,0.8,0.82
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,Acute Care Hospitals,Proprietary,3,South,East South Central,36.4,71.6,25938,12.7,13.9,2.4,12.9,,8,11.5,20.2,,0.22,,0.18,0.07,2.33,0.9,5.37,3.15,3.92,0.78,0.99,0.91
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,Acute Care Hospitals,Voluntary non-profit - Private,4,South,East South Central,37.6,70.6,34950,7.8,34.9,2.5,11.8,2.9,8.2,12.1,16.7,12,0.07,129.01,0.16,0.05,3.35,1.56,13.53,2.68,4.07,0.99,0.81,1.07
10018,CALLAHAN EYE HOSPITAL,"1720 UNIVERSITY BLVD, SUITE 500",BIRMINGHAM,AL,35233,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,,South,East South Central,28.4,54,40234,38,83.8,,,,,,,,0.55,,0.19,0.07,2.34,0.91,5.97,3.33,,,,0.98
10019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,Acute Care Hospitals,Government - Hospital District or Authority,3,South,East South Central,45,73.4,24202,23.3,16.7,2.8,,,7.3,13.4,21.7,17.5,0.85,,0.17,0.13,2.24,,,4.25,,0.74,1.24,1.09
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,Acute Care Hospitals,Government - Hospital District or Authority,4,South,East South Central,42.9,64.5,23803,17.3,17.4,,,,8.7,10.7,15.9,,3.14,,0.25,0.07,2.37,,11.17,3.33,,,1.01,1.22
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,Acute Care Hospitals,Voluntary non-profit - Private,,South,East South Central,52.8,88.7,26121,10.6,14.2,,,,8.2,,14.9,,0.49,,0.19,0.07,,,,,,,,
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,Acute Care Hospitals,Government - Hospital District or Authority,2,South,East South Central,34.1,12.7,26746,21.3,32.8,1.9,14.1,3.9,9.1,11.9,16.9,13.1,1.82,211.16,0.24,0.04,2.18,0.7,6.18,4,3.84,0.68,1.4,1.2
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,Acute Care Hospitals,Voluntary non-profit - Private,2,South,East South Central,34.4,45.5,31848,14.5,47.7,3.4,12,3.5,9.9,14.5,17,12.5,0.96,185.96,0.16,0.12,2.34,0.69,1.53,2.7,2.63,1.26,1.43,0.78
10029,THE EAST ALABAMA HEALTHCARE AUTHORITY,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,Acute Care Hospitals,Government - Hospital District or Authority,2,South,East South Central,39.1,50.2,26592,15.8,32.9,2.7,13.4,2.3,8.5,16.8,20.5,16.8,0.35,174.05,0.15,0.04,1.74,1.48,4.46,3.01,4.07,0.68,0.75,0.83
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Acute Care Hospitals,Government - State,2,South,East South Central,28.4,54,40234,38,83.8,3.2,12.4,2.2,7.7,8.6,13.2,15.6,1.38,164.6,0.18,0.02,1.72,1.26,6.5,4.78,5.07,0.84,0.58,1.2
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,Acute Care Hospitals,Voluntary non-profit - Private,4,South,East South Central,40.9,78.2,23523,11.6,19,,,,9.1,10.6,19.9,,0.5,,0.19,0.17,,,,,,,1.04,1
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,Acute Care Hospitals,Government - Hospital District or Authority,2,South,East South Central,40.5,91.5,25055,12.5,13.7,2.5,12.1,,8.2,12.3,21.1,15.3,0.09,,0.2,0.14,2.22,0.88,4.2,3.56,3.7,0.75,0.91,0.86
10036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,Acute Care Hospitals,Proprietary,3,South,East South Central,47.7,81,28916,17,21.8,2.5,,,6.5,11.1,19,18.8,0.16,,0.18,0.06,2.32,,,3.07,,1.07,0.97,0.94
10038,STRINGFELLOW CAMPUS OF NORTHEAST RMC,301 EAST 18TH ST,ANNISTON,AL,36201,CALHOUN,Acute Care Hospitals,Proprietary,4,South,East South Central,43.2,50.6,17233,25.3,5.7,2.8,,,8.2,9.9,18.5,,0.19,,0.18,0.07,2.32,0.91,5.43,4.54,3.88,0.79,0.96,0.99
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,Acute Care Hospitals,Government - Hospital District or Authority,2,South,East South Central,40,80.2,39308,9.9,52.5,2.1,14.1,1.6,9.6,14,21.9,13.5,0.21,151.29,0.18,0.06,2.48,0.75,9.53,5.05,8.28,0.75,0.8,1.19
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,Acute Care Hospitals,Proprietary,2,South,East South Central,40.1,61.1,23531,19,15.8,2.3,12.2,3.3,8.7,10.4,19.6,14.1,0.06,148.74,0.16,0.05,2.55,0.72,7.05,2.74,6.04,0.73,1.19,0.94
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,Acute Care Hospitals,Voluntary non-profit - Private,,South,East South Central,43.7,89.7,20605,15.1,14.8,,,,7.1,10.5,15.2,,0.53,,0.19,0.07,,,,,,,,
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,Acute Care Hospitals,Voluntary non-profit - Other,3,South,East South Central,45,77.8,19487,22.4,14.8,,,,8.1,10.1,17.4,,0.45,,0.18,0.07,,,,,,,,0.99
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,Acute Care Hospitals,Proprietary,3,South,East South Central,41.6,61.7,22266,21.7,22.5,2.4,12.5,,8.7,10.9,15.5,13.3,0.68,158.64,0.16,0.06,2.12,0.81,5.89,2.66,3.43,0.75,0.91,0.87
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,Acute Care Hospitals,Proprietary,3,South,East South Central,37,64.6,31618,15.7,26,2.3,,,10.2,14.3,20.1,15.1,0.2,,0.18,0.15,2.29,0.88,7.55,2.96,3.84,1.08,0.98,0.94
10051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,GREENE,Acute Care Hospitals,Government - Local,,South,East South Central,44.4,22.5,20173,33.6,11.8,,,,,,,,0.58,,0.19,0.07,,,,,,,,
10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,TALLAPOOSA,Acute Care Hospitals,Proprietary,,South,East South Central,50.8,78.4,26017,14.5,26.8,,,,,,17.1,,0.52,,0.19,0.07,,,,,,,,
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,HOUSTON,Acute Care Hospitals,Proprietary,2,South,East South Central,39.7,80.5,35533,8.8,36.2,2.8,15.3,5.1,11.7,14,20.6,12.4,0.05,136.03,0.15,0.05,2.37,0.81,5.04,2.59,4.84,0.72,1.07,0.81
10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,4,South,East South Central,29.6,61.8,27578,20.6,54.3,1.8,12.2,3.6,7.4,9.4,15.2,15.9,0.04,129.08,0.15,0.04,2.18,1.2,7.32,3.28,3.61,0.68,0.66,0.82
10058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,BIBB,Acute Care Hospitals,Government - Hospital District or Authority,,South,East South Central,47.3,87.6,25614,9.3,16.3,,,,,,18.4,,0.55,,0.19,0.07,,,,,,,,
10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,LAWRENCE,Acute Care Hospitals,Government - Hospital District or Authority,4,South,East South Central,41.7,83.2,24677,18.2,18,,,,7.5,,14.5,,0.53,,0.19,0.07,,,,,,,,
10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,Acute Care Hospitals,Government - Hospital District or Authority,4,South,East South Central,39.7,88.3,22936,19.6,14.6,,,,9.6,14,17,14,1.69,,0.22,0.07,2.34,,,3.16,,,1,1.08
